wiki_db	wmcs_edits	total_edits
abwiki	4	550
acewiki	6	296
adywiki	1	47
afwiki	83	10276
afwikibooks	1	5
afwikiquote	1	12
afwiktionary	2	210
akwiki	1	108
alswiki	22	2583
amwiki	27	1459
amwikimedia	0	15
amwiktionary	1	6
angwiki	2	384
angwiktionary	1	2
anwiki	9	1359
anwiktionary	1	5
arcwiki	3	11
arwiki	1	132152
arwikibooks	5	101
arwikinews	3	56
arwikiquote	3	113
arwikisource	3	181
arwikiversity	2	84
arwiktionary	6	1545
arzwiki	32	5836
astwiki	66	4387
astwiktionary	2	3802
aswiki	35	1451
aswikisource	1	3181
atjwiki	6	65
avwiki	3	205
aywiki	6	37
aywiktionary	1	21
azbwiki	106	1210
azwiki	26	23321
azwikibooks	1	130
azwikiquote	2	2448
azwikisource	1	215
azwiktionary	2	119
barwiki	12	1400
bat_smgwiki	5	341
bawiki	24	5334
bawikibooks	1	38
bclwiki	13	374
bdwikimedia	0	23
be_x_oldwiki	1	6170
betawikiversity	4	1376
bewiki	125	18428
bewikibooks	1	3
bewikimedia	0	212
bewikiquote	2	12
bewikisource	1	533
bewiktionary	1	420
bgwiki	282	28261
bgwikibooks	1	19
bgwikinews	1	525
bgwikiquote	2	61
bgwikisource	1	20
bgwiktionary	3	171
bhwiki	10	412
biwiki	4	27
bjnwiki	2	366
bmwiki	1	5
bnwiki	269	46072
bnwikibooks	2	111
bnwikisource	2	1524
bnwikivoyage	1	356
bnwiktionary	2	275
bowiki	8	109
bpywiki	2	48
brwiki	30	1508
brwikimedia	0	1
brwikiquote	1	21
brwikisource	2	591
brwiktionary	2	715
bswiki	5	4340
bswikibooks	1	3
bswikinews	1	2
bswikiquote	1	57
bswikisource	2	6
bswiktionary	1	105
bugwiki	1	9
bxrwiki	5	14
cawiki	186	60190
cawikibooks	1	16
cawikimedia	1	185
cawikinews	1	64
cawikiquote	1	354
cawikisource	1	138
cawiktionary	2	2498
cbk_zamwiki	1	6
cdowiki	1	1744
cebwiki	35	1361
cewiki	17	3701
chrwiki	2	10
chrwiktionary	5	69
chwiki	1	3
chywiki	2	25
ckbwiki	22	4636
commonswiki	262922	2443848
100 rows selected (54.184 seconds)
